Sector,Salary Group,Employment Group,Components,Year,Contents Men,Contents Women,Difference,Difference in procents
Municipal and regional government total,Workers paid by the hour,Employees,"Median, standardized hourly earnings",2013,169.21,169.22,-0.009999999999990905,-0.01
Municipal and regional government total,Workers paid by the hour,Employees,"Upper quartile, standardized hourly earnings",2013,195.07,198.12,-3.0500000000000114,-1.56
Municipal and regional government total,Workers paid by the hour,Employees,STANDARDIZED MONTHLY EARNINGS,2013,28189.73,28207.13,-17.400000000001455,-0.06
Municipal and regional government total,Workers paid by the hour,Employees,Number of fulltime employees in the earnings statistics,2013,2529.0,6773.0,-4244.0,-167.81
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level",STANDARDIZED HOURLY EARNINGS,2013,175.32,175.88,-0.5600000000000023,-0.32
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level",Fringe benefits in DKK per standard hour,2013,0.0,0.0,0.0,
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level",Pension including ATP in DKK per standard hour,2013,7.39,9.02,-1.63,-22.06
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level",Basic earnings in DKK per standard hour,2013,147.64,143.46,4.179999999999978,2.83
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level","Lower quartile, standardized earnings",2013,143.47,144.74,-1.2700000000000102,-0.89
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level","Median, standardized hourly earnings",2013,169.12,169.2,-0.07999999999998408,-0.05
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level","Upper quartile, standardized hourly earnings",2013,194.78,198.09,-3.3100000000000023,-1.7
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level",STANDARDIZED MONTHLY EARNINGS,2013,28108.91,28198.98,-90.06999999999971,-0.32
Municipal and regional government total,Workers paid by the hour,"Employees, non-managerial level",Number of fulltime employees in the earnings statistics,2013,2522.0,6769.0,-4247.0,-168.4
Municipal and regional government total,Fixed salary-earners,General managers,STANDARDIZED HOURLY EARNINGS,2013,394.88,313.15,81.73000000000002,20.7
Municipal and regional government total,Fixed salary-earners,General managers,Fringe benefits in DKK per standard hour,2013,0.31,0.22,0.09,29.03
Municipal and regional government total,Fixed salary-earners,General managers,Pension including ATP in DKK per standard hour,2013,58.07,44.89,13.18,22.7
Municipal and regional government total,Fixed salary-earners,General managers,Basic earnings in DKK per standard hour,2013,316.78,260.29,56.48999999999995,17.83
Municipal and regional government total,Fixed salary-earners,General managers,"Lower quartile, standardized earnings",2013,284.82,248.59,36.22999999999999,12.72
Municipal and regional government total,Fixed salary-earners,General managers,"Median, standardized hourly earnings",2013,355.42,280.4,75.02000000000004,21.11
